Start_Date,End_Date,Duration_Days,Mean_Intensity,Max_Intensity,DMI_0m,DMI_1m,DMI_2m,DMI_3m,DMI_6m,IOD_Phase,IOD_Phase_1m,IOD_Phase_2m,IOD_Phase_3m,IOD_Phase_6m
2023-11-04,2023-11-29,26,0.088796441935485,0.2644608838709708,0.9200000166893004,0.8040000200271606,0.9459999799728394,0.824999988079071,0.4429999887943268,Positive,Positive,Positive,Positive,Positive
2023-12-07,2023-12-23,17,0.0982123543370902,0.2300287354838701,0.8510000109672546,0.9200000166893004,0.8040000200271606,0.9459999799728394,0.6650000214576721,Positive,Positive,Positive,Positive,Positive
2024-01-01,2024-01-11,11,0.1532108770119778,0.2531095562499992,0.7649999856948853,0.8510000109672546,0.9200000166893004,0.8040000200271606,0.4979999959468841,Positive,Positive,Positive,Positive,Positive
2024-01-24,2024-02-18,26,0.0951408295285363,0.2722620870967738,0.7649999856948853,0.8510000109672546,0.9200000166893004,0.8040000200271606,0.4979999959468841,Positive,Positive,Positive,Positive,Positive
2024-04-11,2024-05-24,44,0.4071737870967743,0.9075480967741923,0.4399999976158142,0.4210000038146972,0.328000009059906,0.7649999856948853,0.8040000200271606,Positive,Positive,Neutral,Positive,Positive
2024-07-08,2024-07-13,6,0.0651807682795713,0.1303017677419369,0.032999999821186,0.1969999969005584,0.296999990940094,0.4399999976158142,0.7649999856948853,Neutral,Neutral,Neutral,Positive,Positive
2024-08-09,2024-08-28,20,0.2428046654838697,0.355407532258063,0.2669999897480011,0.032999999821186,0.1969999969005584,0.296999990940094,0.328000009059906,Neutral,Neutral,Neutral,Neutral,Neutral
2024-09-27,2024-10-02,6,0.22267299032258,0.4511085483870936,0.1150000020861625,0.2669999897480011,0.032999999821186,0.1969999969005584,0.4210000038146972,Neutral,Neutral,Neutral,Neutral,Positive
2024-10-05,2024-10-21,17,0.1953763377609117,0.3326565645161317,-0.1959999948740005,0.1150000020861625,0.2669999897480011,0.032999999821186,0.4399999976158142,Neutral,Neutral,Neutral,Neutral,Positive
2024-10-28,2024-12-19,53,0.1525969444041741,0.2996832741935478,-0.1959999948740005,0.1150000020861625,0.2669999897480011,0.032999999821186,0.4399999976158142,Neutral,Neutral,Neutral,Neutral,Positive
2025-01-01,2025-01-15,15,0.1477862590395202,0.2793345562499993,-0.1959999948740005,-0.3310000002384186,-0.382999986410141,-0.1959999948740005,0.032999999821186,Neutral,Neutral,Neutral,Neutral,Neutral
2025-02-20,2025-03-25,34,0.1676668997153705,0.3363916258064527,0.0170000009238719,-0.1959999948740005,-0.3310000002384186,-0.382999986410141,0.2669999897480011,Neutral,Neutral,Neutral,Neutral,Neutral
2025-07-12,2025-07-17,6,0.0526631844086047,0.0864841419354824,,,,0.1490000039339065,-0.1959999948740005,Unknown,Unknown,Unknown,Neutral,Neutral
2025-08-01,2025-08-13,13,0.1924299923076933,0.301921745161291,,,,,0.0170000009238719,Unknown,Unknown,Unknown,Unknown,Neutral
