region,horizon,model,feature,importance
central,3,xgboost,Intensity,0.12988537549972534
central,3,xgboost,SST_Anomaly,0.16694536805152893
central,3,xgboost,Above_Threshold,0.0010239453986287117
central,3,xgboost,Distance_to_Threshold,0.06616666913032532
central,3,xgboost,Consecutive_Hot_Days,0.04877288267016411
central,3,xgboost,SST_mean_7d,0.00677304994314909
central,3,xgboost,SST_std_7d,0.0038199119735509157
central,3,xgboost,Intensity_mean_7d,0.005610468331724405
central,3,xgboost,SST_mean_14d,0.008735193870961666
central,3,xgboost,SST_std_14d,0.01176135241985321
central,3,xgboost,Intensity_mean_14d,0.0033015005756169558
central,3,xgboost,SST_mean_21d,0.02635698765516281
central,3,xgboost,SST_std_21d,0.002813875675201416
central,3,xgboost,Intensity_mean_21d,0.005826754495501518
central,3,xgboost,SST_mean_30d,0.023569954559206963
central,3,xgboost,SST_std_30d,0.009807951748371124
central,3,xgboost,Intensity_mean_30d,0.008273101411759853
central,3,xgboost,SST_change_7d,0.01243862509727478
central,3,xgboost,SST_change_14d,0.009382883086800575
central,3,xgboost,Wind,0.015630636364221573
central,3,xgboost,Wind_Climatology,0.002395146992057562
central,3,xgboost,Wind_Anomaly,0.008157159201800823
central,3,xgboost,Wind_mean_7d,0.0009438610286451876
central,3,xgboost,Wind_anom_mean_7d,0.003109122859314084
central,3,xgboost,Wind_mean_14d,0.0036602974869310856
central,3,xgboost,Wind_anom_mean_14d,0.010725731030106544
central,3,xgboost,Wind_mean_21d,0.0027150711975991726
central,3,xgboost,Wind_anom_mean_21d,0.004805270582437515
central,3,xgboost,Wind_mean_30d,0.00240422785282135
central,3,xgboost,Wind_anom_mean_30d,0.030325913801789284
central,3,xgboost,SLHF,0.003744828049093485
central,3,xgboost,SLHF_Anomaly,0.004612539429217577
central,3,xgboost,SLHF_anom_mean_7d,0.0040915971621870995
central,3,xgboost,SLHF_anom_mean_14d,0.016191480681300163
central,3,xgboost,SLHF_anom_mean_21d,0.005265854764729738
central,3,xgboost,SLHF_anom_mean_30d,0.0038739126175642014
central,3,xgboost,SSHF,0.008386258035898209
central,3,xgboost,SSHF_Anomaly,0.011900053359568119
central,3,xgboost,SSHF_anom_mean_7d,0.002636881545186043
central,3,xgboost,SSHF_anom_mean_14d,0.0018697662744671106
central,3,xgboost,SSHF_anom_mean_21d,0.003163460409268737
central,3,xgboost,SSHF_anom_mean_30d,0.002640716265887022
central,3,xgboost,ONI_0m,0.007689020596444607
central,3,xgboost,DMI_0m,0.04628559947013855
central,3,xgboost,MEI_0m,0.010626568458974361
central,3,xgboost,ONI_1m,0.012659928761422634
